,year,day,현재수요(MW),공급능력(MW),공급예비율(퍼센트)
243,2019,27,63654.33973853114,90833.944760101,44.02635258178136
244,2019,28,63308.7120949074,90483.67013888889,44.02866814236111
245,2019,29,63430.19049873737,89983.60448232322,43.12050795454545
246,2019,30,63450.25810089532,89957.48685720845,43.0458355457989
247,2019,31,64239.37748015873,92941.99107142857,46.291371279761904
248,2020,1,58038.18154373597,91597.15631313132,60.537898762801625
249,2020,2,60050.97829861111,92369.39765624999,56.94050205439815
250,2020,3,61755.105239898985,92202.01154776936,51.970298237584174
251,2020,4,60990.829079861105,91610.51550662878,52.52772896412037
252,2020,5,59951.569357638895,91202.83043981482,54.292945688657404
253,2020,6,61805.397653619526,91638.28670822812,50.476052940867
254,2020,7,62164.00689972643,91827.63933869949,49.95421962857744
255,2020,8,61377.28056344696,91853.30422453705,51.579509106691916
256,2020,9,62308.68920717593,91691.91843171295,48.87891116898148
257,2020,10,63786.532725694444,91761.94438657408,46.038565248842595
258,2020,11,62331.35000789141,91045.03977272726,47.86845520833333
259,2020,12,61091.31145833333,90837.81122685185,50.49005694444444
260,2020,13,62051.06475694444,91002.86941550925,48.31568240740741
261,2020,14,62770.6297511574,91157.72156828704,47.084031660879624
262,2020,15,61808.62453966751,91063.48124210858,49.21429475484007
263,2020,16,63071.674805345116,91277.82409774832,46.593006823442764
264,2020,17,64327.80174663299,91472.58838646887,44.52749539930555
265,2020,18,62817.05227009681,91019.50289351851,47.03443256523569
266,2020,19,61674.89276357324,90858.36008785776,49.0206334648569
267,2020,20,62461.18843907828,91161.25934606482,47.810190209385524
268,2020,21,62806.20048926768,91536.25269623316,47.84327673085017
269,2020,22,62107.000539246634,91193.2339883207,48.805458191287876
270,2020,23,61808.970467697814,91772.49974484427,50.360240054187706
271,2020,24,61592.39401455027,92086.31024305556,51.853167802166006
272,2020,25,60565.764570180974,91899.6984743266,54.45246691024832
273,2020,26,59933.81570391414,91326.40943287038,54.916669140625
274,2020,27,60500.48986742424,91363.40570023148,52.955421169507574
275,2020,28,61574.750307765156,92031.48904671716,51.45147692550505
276,2020,29,60847.99936710858,92078.70732796717,53.044458637941915
277,2020,30,60745.35766988062,92917.97730601468,55.756351294191916
278,2020,31,62441.99920634921,93214.77078373016,52.218323363095244
279,2021,1,63758.77991109007,89169.43752893519,40.97218395044192
280,2021,2,64169.21259770323,89086.4016504329,39.950852361411734
281,2021,3,63656.168815761775,88127.76508575336,39.32756882891414
282,2021,4,63805.542371633,87842.85787037037,38.86266974168771
283,2021,5,63657.0697522096,88623.8985926978,40.96648605797559
284,2021,6,64276.31026672979,88411.84522043349,38.934730855429294
285,2021,7,64322.41358112373,88820.25948284933,39.78638036826599
286,2021,8,66194.46632637136,89689.41758873458,36.87146924794823
287,2021,9,65748.2922059133,89491.51239215067,37.5015914430766
288,2021,10,64759.8016087963,88980.34357586279,38.39201361374158
289,2021,11,63071.50673550986,88448.47834295334,42.116445481526576
290,2021,12,63815.783004524405,88459.23307554713,41.21611478149551
291,2021,13,63965.176007470545,88113.77489478113,39.797174149305555
292,2021,14,63903.45664983165,88233.06310500842,39.950079903198656
293,2021,15,65532.1039425505,88697.44864741161,36.51702480481902
294,2021,16,65554.46668733464,88664.81891947752,36.162546321097885
295,2021,17,64829.44969802188,89139.94118265992,39.00112422348485
296,2021,18,64658.22369212963,88844.76814236112,38.89606576967592
297,2021,19,64007.273561132155,88795.75790719697,40.065412010732324
298,2021,20,63407.74544314674,88460.77491582492,41.35346070689534
299,2021,21,62455.13688371813,88316.30477656024,43.57210836565056
300,2021,22,63739.84217329546,89481.25142729377,42.46997834438131
301,2021,23,64569.573299663294,89332.28206772587,39.933685052083334
302,2021,24,63811.54588857323,88530.15322583474,40.03569182142607
303,2021,25,63823.749606481484,89196.25118371211,40.75984020640432
304,2021,26,64328.28058712121,89827.39315288299,40.696244960016834
305,2021,27,64692.70168876262,88916.54338962543,38.865978990425084
306,2021,28,64433.75159143518,88539.69671761013,39.24040389660493
307,2021,29,65931.3471476125,89749.145065427,37.72746378960055
308,2021,30,65219.9741018136,89949.65008034895,39.43564069100091
309,2021,31,63184.049284812405,91660.95000541126,46.24902817279942
310,2022,1,61630.231770833336,94265.16328125,54.32281901041667
311,2022,2,61597.05804135101,94100.78773674242,54.20809150883838
312,2022,3,67005.98307291667,95354.72630208333,44.11284513888889
313,2022,4,70727.0424715909,96028.21460700757,36.47026972853535
314,2022,5,68443.04414457071,93521.8020675505,37.11998970959596
315,2022,6,65341.29383074935,94427.04920718816,45.25257579574818
316,2022,7,71439.42864583334,94647.5084201389,33.30487404513889
317,2022,8,71027.19386574073,97661.84618055556,38.205437384259255
318,2022,9,67087.2481902357,98010.41949705388,47.198382028619534
319,2022,10,71838.22384259259,100065.0599537037,40.15156979166667
320,2022,11,73191.25002104376,100299.43449074074,37.7058766729798
321,2022,12,67682.87210648149,97039.31921296296,44.446489004629626
322,2022,13,66089.45127314814,96929.05046296297,48.67726550925926
323,2022,14,72536.86550925925,99890.54501262627,39.003898021885526
324,2022,15,70255.74182449495,97843.6396780303,39.81351428872054
325,2022,16,69559.92747680891,96621.14332560297,40.00835491805813
326,2022,17,74824.67505260943,98353.21015361953,32.34184276094276
327,2022,18,74624.19479166667,98681.82314814815,32.79154884259259
328,2022,19,70022.63773148149,95788.22569444444,37.38239733796296
329,2022,20,66450.58697390572,95493.5434659091,45.16450475589225
330,2022,21,73038.48011363637,95442.50321969697,31.457191550925927
331,2022,22,70873.20046296297,94357.48668981482,33.710617013888886
332,2022,23,70071.10740740741,94912.73796296297,36.874909317129635
333,2022,24,72619.89270833334,94587.9474537037,30.82165428240741
334,2022,25,72283.36898148147,95321.59872685185,32.37921377314815
335,2022,26,66360.97828282829,92963.29974747475,40.244375894360275
336,2022,27,62274.41979166666,93134.56296296295,51.30005208333333
337,2022,28,67845.53541666667,94034.23969907407,39.05309386574074
338,2022,29,64143.23559027777,90750.91354166668,41.858268055555556
339,2022,30,63118.5484375,88180.98420138888,40.90101597222222
340,2022,31,61077.26545138889,87858.19913194445,46.12070295138889
